growth1 oneseas 3.30.24.1 
Morph	Yr	Seas	SubSeas	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1	1977	1	1	21.6597	28.6813	34.7416	39.9722	44.4867	48.3831	51.7461	54.6487	57.154	59.3162	61.1824	62.7932	64.1834	65.3833	66.4189	67.3127	68.0842	68.75	69.3247	69.8207	70.2488	70.6183	70.9372	71.2125	71.4501	71.6551	71.8321	71.9848	72.1166	72.2304	72.3286	72.4134	72.4866	72.5497	72.6042	72.6512	72.6918	72.7269	72.7571	72.7832	72.886
1	1977	1	2	25.2997	31.8229	37.4531	42.3125	46.5066	50.1265	53.2508	55.9474	58.2749	60.2836	62.0174	63.5138	64.8054	65.9201	66.8822	67.7126	68.4293	69.0479	69.5818	70.0427	70.4404	70.7836	71.0799	71.3356	71.5564	71.7468	71.9113	72.0532	72.1756	72.2813	72.3726	72.4513	72.5193	72.578	72.6286	72.6723	72.71	72.7425	72.7706	72.7949	72.8904
1	1978	1	1	21.6597	28.6813	34.7416	39.9722	44.4867	48.3831	51.7461	54.6487	57.154	59.3162	61.1824	62.7932	64.1834	65.3833	66.4189	67.3127	68.0842	68.75	69.3247	69.8207	70.2488	70.6183	70.9372	71.2125	71.4501	71.6551	71.8321	71.9848	72.1166	72.2304	72.3286	72.4134	72.4866	72.5497	72.6042	72.6512	72.6918	72.7269	72.7571	72.7832	72.886
1	1978	1	2	25.2997	31.8229	37.4531	42.3125	46.5066	50.1265	53.2508	55.9474	58.2749	60.2836	62.0174	63.5138	64.8054	65.9201	66.8822	67.7126	68.4293	69.0479	69.5818	70.0427	70.4404	70.7836	71.0799	71.3356	71.5564	71.7468	71.9113	72.0532	72.1756	72.2813	72.3726	72.4513	72.5193	72.578	72.6286	72.6723	72.71	72.7425	72.7706	72.7949	72.8904
1	1979	1	1	21.6597	28.6813	34.7416	39.9722	44.4867	48.3831	51.7461	54.6487	57.154	59.3162	61.1824	62.7932	64.1834	65.3833	66.4189	67.3127	68.0842	68.75	69.3247	69.8207	70.2488	70.6183	70.9372	71.2125	71.4501	71.6551	71.8321	71.9848	72.1166	72.2304	72.3286	72.4134	72.4866	72.5497	72.6042	72.6512	72.6918	72.7269	72.7571	72.7832	72.886
1	1979	1	2	25.2997	31.8229	37.4531	42.3125	46.5066	50.1265	53.2508	55.9474	58.2749	60.2836	62.0174	63.5138	64.8054	65.9201	66.8822	67.7126	68.4293	69.0479	69.5818	70.0427	70.4404	70.7836	71.0799	71.3356	71.5564	71.7468	71.9113	72.0532	72.1756	72.2813	72.3726	72.4513	72.5193	72.578	72.6286	72.6723	72.71	72.7425	72.7706	72.7949	72.8904
1	1980	1	1	21.6597	28.7297	34.7416	39.9722	44.4867	48.3831	51.7461	54.6487	57.154	59.3162	61.1824	62.7932	64.1834	65.3833	66.4189	67.3127	68.0842	68.75	69.3247	69.8207	70.2488	70.6183	70.9372	71.2125	71.4501	71.6551	71.8321	71.9848	72.1166	72.2304	72.3286	72.4134	72.4866	72.5497	72.6042	72.6512	72.6918	72.7269	72.7571	72.7832	72.886
1	1980	1	2	25.3248	31.893	37.4782	42.3376	46.5317	50.1516	53.2759	55.9725	58.3	60.3088	62.0425	63.5389	64.8305	65.9452	66.9073	67.7377	68.4545	69.073	69.607	70.0678	70.4655	70.8088	71.105	71.3608	71.5815	71.772	71.9364	72.0783	72.2007	72.3065	72.3977	72.4764	72.5444	72.6031	72.6537	72.6974	72.7351	72.7677	72.7958	72.82	72.9155
1	1981	1	1	21.6597	28.7297	34.8318	40.0206	44.5351	48.4316	51.7946	54.6972	57.2024	59.3646	61.2309	62.8416	64.2318	65.4317	66.4673	67.3611	68.1326	68.7985	69.3732	69.8692	70.2973	70.6668	70.9857	71.2609	71.4985	71.7035	71.8805	72.0333	72.1651	72.2789	72.3771	72.4618	72.535	72.5981	72.6526	72.6997	72.7403	72.7753	72.8056	72.8317	72.9345
1	1981	1	2	25.3248	31.893	37.562	42.3826	46.5767	50.1966	53.3209	56.0175	58.345	60.3538	62.0875	63.5839	64.8755	65.9902	66.9523	67.7827	68.4995	69.118	69.652	70.1128	70.5105	70.8538	71.15	71.4058	71.6265	71.817	71.9814	72.1233	72.2457	72.3515	72.4427	72.5214	72.5894	72.6481	72.6987	72.7424	72.7801	72.8127	72.8408	72.865	72.9605
